Name,StartTime,precision,recall,F1,,,,
L8SR,2016-11-01,0.9320411368,0.9239500816,0.9279321366,,,nov-dec,27.80858361
L8SR,2016-12-01,0.8474593771,0.9046380735,0.8722652056,,,dec-jan,55.49323322
L8SR,2017-01-01,0.8163200609,0.9096901084,0.8516191709,,,jan-feb,52.84362254
L8SR,2017-02-01,0.8924317688,0.912204472,0.9017457139,,,feb-mar,37.71106785
L8SR,2017-03-01,0.9647637973,0.9523316368,0.9584116905,,,mar-apr,2.792918057
S1_sl,2016-11-01,0.8973095268,0.7535709701,0.8013763299,,,nov-dec,27.80858361
S1_sl,2016-12-01,0.8586862064,0.6236183614,0.6624942017,,,dec-jan,55.49323322
S1_sl,2017-01-01,0.8995911254,0.6906108789,0.7431748402,,,jan-feb,52.84362254
S1_sl,2017-02-01,0.8975291051,0.7451604535,0.7889704832,,,feb-mar,37.71106785
S1_sl,2017-03-01,0.9633613395,0.8594664024,0.9014416992,,,mar-apr,2.792918057
L8SR_S1A_sl,2016-11-01,0.9419884602,0.9295977997,0.9356480969,,,nov-dec,27.80858361
L8SR_S1A_sl,2016-12-01,0.9303499253,0.8968156702,0.9125315944,,,dec-jan,55.49323322
L8SR_S1A_sl,2017-01-01,0.8903762518,0.9121144806,0.9007574206,,,jan-feb,52.84362254
L8SR_S1A_sl,2017-02-01,0.9325169709,0.8659906985,0.8937465284,,,feb-mar,37.71106785
L8SR_S1A_sl,2017-03-01,0.9812311964,0.9395141191,0.9588857078,,,mar-apr,2.792918057
L8SR_S1A_sl3,2016-11-01,0.9347338336,0.9321410875,0.9334310053,,,nov-dec,27.80858361
L8SR_S1A_sl3,2016-12-01,0.9067573703,0.6912553542,0.7451272676,,,dec-jan,55.49323322
L8SR_S1A_sl3,2017-01-01,0.9050946317,0.9114315092,0.9082231308,,,jan-feb,52.84362254
L8SR_S1A_sl3,2017-02-01,0.9290619273,0.8413457957,0.875549787,,,feb-mar,37.71106785
L8SR_S1A_sl3,2017-03-01,0.9803175542,0.9340415025,0.9553418626,,,mar-apr,2.792918057
Ndwi,2016-11-01,0.9716120906,0.8601389898,0.9045072301,,,nov-dec,27.80858361
Ndwi,2016-12-01,0.9427807957,0.8452687234,0.8850893336,,,dec-jan,55.49323322
Ndwi,2017-01-01,0.9113960172,0.8090867452,0.8493242896,,,jan-feb,52.84362254
Ndwi,2017-02-01,0.9428103106,0.7761025812,0.8256694323,,,feb-mar,37.71106785
Ndwi,2017-03-01,0.9807811192,0.8989158723,0.9340042641,,,mar-apr,2.792918057